2009-08-16 21:59:31 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [CORE/cake/libs/debugger.php, line 557]
2009-08-17 22:18:23 Notice: Notice (8): Undefined variable: records in [APP/views/records/edit.ctp, line 2]
2009-08-17 23:38:30 Notice: Notice (8): Undefined property: Record::$Topic in [APP/controllers/records_controller.php, line 50]
2009-08-18 17:33:57 Notice: Notice (8): Undefined variable: threads in [APP/views/topics/view.ctp, line 44]
2009-08-18 19:35:46 Notice: Notice (8): Undefined variable: record in [APP/views/topics/view.ctp, line 56]
2009-08-18 19:46:15 Notice: Notice (8): Undefined property: TopicsController::$User in [APP/controllers/topics_controller.php, line 20]
2009-08-18 19:46:33 Notice: Notice (8): Undefined property: Topic::$User in [APP/controllers/topics_controller.php, line 20]
2009-08-19 18:15:01 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 8]
2009-08-19 21:29:01 Notice: Notice (8): Undefined variable: topics in [APP/views/records/view.ctp, line 96]
2009-08-20 15:38:18 Notice: Notice (8): Undefined property: RecordsController::$Post in [APP/controllers/records_controller.php, line 73]
2009-08-20 15:57:13 Notice: Notice (8): Undefined property: RecordsController::$SearchIndex in [APP/controllers/records_controller.php, line 73]
2009-08-20 15:59:11 Notice: Notice (8): Undefined index:  title in [APP/views/records/search.ctp, line 21]
2009-08-20 15:59:11 Notice: Notice (8): Undefined variable: post in [APP/views/records/search.ctp, line 26]
2009-08-20 19:39:51 Notice: Notice (8): Undefined variable: Session in [APP/views/threads/add.ctp, line 22]
2009-08-20 19:43:27 Notice: Notice (8): Undefined property: View::$Session in [APP/views/threads/add.ctp, line 22]
2009-08-20 19:50:12 Notice: Notice (8): Undefined variable: hello in [APP/views/threads/add.ctp, line 21]
2009-08-20 19:51:43 Notice: Notice (8): Undefined variable: hello in [APP/views/threads/add.ctp, line 21]
2009-08-20 21:58:59 Notice: Notice (8): Undefined variable: topic_id in [APP/controllers/topics_controller.php, line 56]
2009-08-20 21:59:00 Notice: Notice (8): Undefined variable: topic_id in [APP/controllers/topics_controller.php, line 56]
2009-08-20 21:59:03 Notice: Notice (8): Undefined variable: topic_id in [APP/controllers/topics_controller.php, line 56]
2009-08-20 22:00:52 Notice: Notice (8): Undefined variable: topic_id in [APP/controllers/topics_controller.php, line 56]
2009-08-20 22:01:35 Notice: Notice (8): Undefined variable: topic_id in [APP/controllers/topics_controller.php, line 56]
2009-08-20 22:02:05 Notice: Notice (8): Undefined variable: topic_id in [APP/controllers/topics_controller.php, line 56]
2009-08-20 22:02:23 Notice: Notice (8): Undefined variable: topic_id in [APP/controllers/topics_controller.php, line 56]
2009-08-20 22:04:49 Notice: Notice (8): Undefined index:  Record in [APP/controllers/topics_controller.php, line 50]
2009-08-21 00:32:43 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/model/datasources/dbo_source.php, line 1854]
2009-08-21 00:38:31 Notice: Notice (8): Undefined variable: pagination in [APP/views/records/view.ctp, line 102]
2009-08-21 00:42:46 Notice: Notice (8): Undefined variable: pagination in [APP/views/records/view.ctp, line 102]
2009-08-21 00:42:55 Notice: Notice (8): Undefined variable: pagination in [APP/views/records/view.ctp, line 102]
2009-08-21 00:50:21 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/model/datasources/dbo_source.php, line 1854]
2009-08-21 00:54:46 Notice: Notice (8): Undefined index:  Record in [APP/views/records/view.ctp, line 1]
2009-08-21 00:54:46 Notice: Notice (8): Undefined index:  Record in [APP/views/records/view.ctp, line 3]
2009-08-21 00:54:46 Notice: Notice (8): Undefined index:  Record in [APP/views/records/view.ctp, line 6]
2009-08-21 00:54:46 Notice: Notice (8): Undefined index:  Record in [APP/views/records/view.ctp, line 7]
2009-08-21 00:54:46 Notice: Notice (8): Undefined index:  Tag in [APP/views/records/view.ctp, line 12]
2009-08-21 00:54:46 Notice: Notice (8): Undefined index:  Record in [APP/views/records/view.ctp, line 22]
2009-08-21 00:54:46 Notice: Notice (8): Undefined index:  Record in [APP/views/records/view.ctp, line 30]
2009-08-21 00:54:46 Notice: Notice (8): Undefined index:  Record in [APP/views/records/view.ctp, line 102]
2009-08-21 17:04:33 Notice: Notice (8): Undefined variable: crumb in [APP/views/records/view.ctp, line 3]
2009-08-21 17:04:53 Notice: Notice (8): Undefined variable: crumb in [APP/views/records/view.ctp, line 3]
2009-08-21 17:34:22 Notice: Notice (8): Undefined index:  Record in [APP/views/topics/search.ctp, line 21]
